"Distinct_Gender_Values"
" [1] ""Male""                                                   "
" [2] ""male""                                                   "
" [3] ""Female""                                                 "
" [4] ""M""                                                      "
" [5] ""female""                                                 "
" [6] ""m""                                                      "
" [7] ""I identify as female.""                                  "
" [8] ""Bigender""                                               "
" [9] ""non-binary""                                             "
"[10] ""Female assigned at birth""                               "
"[11] ""F""                                                      "
"[12] ""Woman""                                                  "
"[13] ""man""                                                    "
"[14] ""fm""                                                     "
"[15] ""f""                                                      "
"[16] ""Cis female""                                             "
"[17] ""Transitioned, M2F""                                      "
"[18] ""Genderfluid (born female)""                              "
"[19] ""Other/Transfeminine""                                    "
"[20] ""Female or Multi-Gender Femme""                           "
"[21] ""woman""                                                  "
"[22] ""female/woman""                                           "
"[23] ""Cis male""                                               "
"[24] ""Male.""                                                  "
"[25] ""Androgynous""                                            "
"[26] ""male 9:1 female, roughly""                               "
"[27] ""N/A""                                                    "
"[28] ""Male (cis)""                                             "
"[29] ""Other""                                                  "
"[30] ""nb masculine""                                           "
"[31] ""Cisgender Female""                                       "
"[32] ""Man""                                                    "
"[33] ""Sex is male""                                            "
"[34] ""none of your business""                                  "
"[35] ""genderqueer""                                            "
"[36] ""cis male""                                               "
"[37] ""Human""                                                  "
"[38] ""Genderfluid""                                            "
"[39] ""Enby""                                                   "
"[40] ""genderqueer woman""                                      "
"[41] ""Queer""                                                  "
"[42] ""Agender""                                                "
"[43] ""Dude""                                                   "
"[44] ""mail""                                                   "
"[45] ""Male/genderqueer""                                       "
"[46] ""fem""                                                    "
"[47] ""Nonbinary""                                              "
"[48] ""Female (props for making this a freeform field, though)"""
"[49] ""Cis Male""                                               "
"[50] ""Male (trans, FtM)""                                      "
"[51] ""Cis-woman""                                              "
"[52] ""Genderqueer""                                            "
"[53] ""cisdude""                                                "
"[54] ""Genderflux demi-girl""                                   "
"[55] ""female-bodied; no feelings about gender""                "
"[56] ""cis man""                                                "
"[57] NA                                                       "
"[58] ""Transgender woman""                                      "
